age,job,marital,education,default,housing,loan,contact,month,day,duration,campaign,pdays,previous,poutcome
67,retired,married,unknown,no,no,no,telephone,aug,17,119,1,105,2,failure
56,self-employed,married,secondary,no,no,yes,cellular,jul,30,149,2,-1,0,unknown
53,admin.,married,secondary,no,no,yes,cellular,aug,21,74,2,-1,0,unknown
68,retired,divorced,secondary,no,no,no,telephone,jul,14,897,2,-1,0,unknown
31,technician,married,secondary,no,no,no,cellular,aug,27,81,3,-1,0,unknown
59,management,married,secondary,no,no,no,cellular,nov,21,40,1,-1,0,unknown
32,management,single,tertiary,no,yes,no,cellular,aug,26,958,6,-1,0,unknown
49,technician,married,tertiary,no,no,no,cellular,aug,13,354,3,-1,0,unknown
42,admin.,divorced,secondary,no,yes,no,unknown,may,14,150,1,-1,0,unknown
78,retired,divorced,primary,no,no,no,telephone,oct,22,97,1,-1,0,unknown
32,blue-collar,married,secondary,no,yes,no,cellular,nov,14,132,1,-1,0,unknown
33,management,married,secondary,no,yes,no,cellular,may,6,765,1,342,2,failure
23,services,single,tertiary,no,yes,no,unknown,may,30,16,18,-1,0,unknown
38,management,single,tertiary,no,yes,no,unknown,nov,17,609,2,101,3,failure
36,management,single,tertiary,no,no,no,cellular,aug,11,106,2,-1,0,unknown
52,blue-collar,married,secondary,no,yes,no,cellular,may,13,365,1,-1,0,unknown
32,technician,married,tertiary,no,yes,no,cellular,may,13,205,3,-1,0,unknown
32,technician,single,tertiary,no,yes,no,cellular,nov,21,11,4,-1,0,unknown
34,management,single,tertiary,no,yes,no,unknown,may,7,105,2,-1,0,unknown
55,blue-collar,married,primary,no,no,no,telephone,feb,2,59,3,5,2,other
26,blue-collar,married,primary,no,yes,no,unknown,may,21,425,1,-1,0,unknown
32,entrepreneur,single,primary,yes,yes,yes,cellular,feb,4,204,1,-1,0,unknown
61,admin.,married,unknown,no,yes,no,cellular,jan,27,181,1,92,1,success
45,blue-collar,divorced,primary,no,no,no,unknown,jun,5,1018,3,-1,0,unknown
37,technician,single,secondary,no,yes,no,cellular,aug,20,1740,2,-1,0,unknown
38,technician,single,secondary,no,no,no,cellular,aug,29,98,2,-1,0,unknown
34,technician,married,tertiary,no,yes,no,cellular,jun,15,441,1,56,1,other
53,blue-collar,married,secondary,no,yes,no,cellular,jul,14,272,3,-1,0,unknown
48,admin.,married,secondary,no,yes,no,telephone,jul,15,159,2,-1,0,unknown
57,management,married,secondary,no,no,yes,telephone,feb,4,140,1,-1,0,unknown
33,self-employed,single,tertiary,no,no,no,cellular,nov,17,295,1,-1,0,unknown
36,retired,single,secondary,no,yes,yes,unknown,may,26,314,1,-1,0,unknown
54,technician,divorced,secondary,no,yes,yes,unknown,may,15,579,1,-1,0,unknown
41,blue-collar,married,primary,no,no,yes,telephone,jul,8,554,3,-1,0,unknown
63,retired,married,secondary,no,yes,no,cellular,oct,7,323,1,-1,0,unknown
48,management,married,tertiary,no,no,no,cellular,aug,13,227,2,-1,0,unknown
48,services,married,secondary,no,no,no,cellular,jul,4,134,2,-1,0,unknown
56,admin.,married,secondary,no,no,no,cellular,oct,7,223,1,-1,0,unknown
51,blue-collar,divorced,secondary,no,yes,no,cellular,may,8,134,1,170,5,failure
31,services,married,secondary,no,yes,no,cellular,jan,28,155,1,-1,0,unknown
29,technician,married,secondary,no,yes,no,cellular,jul,21,130,4,-1,0,unknown
41,management,married,secondary,no,no,yes,cellular,jul,7,630,3,-1,0,unknown
32,technician,single,tertiary,no,no,no,cellular,nov,19,164,2,-1,0,unknown
37,management,married,tertiary,no,no,no,cellular,jul,16,268,2,182,3,success
42,entrepreneur,divorced,tertiary,yes,yes,no,unknown,may,5,380,1,-1,0,unknown
31,management,single,tertiary,no,yes,no,unknown,may,9,154,2,-1,0,unknown
41,services,married,tertiary,no,yes,no,unknown,jun,3,154,5,-1,0,unknown
56,retired,married,secondary,no,yes,no,unknown,may,15,221,1,-1,0,unknown
54,management,divorced,tertiary,no,no,no,cellular,aug,14,67,2,-1,0,unknown
41,blue-collar,divorced,secondary,no,yes,no,cellular,may,14,367,2,297,1,other
40,technician,single,secondary,no,no,yes,cellular,aug,14,87,6,-1,0,unknown
50,blue-collar,divorced,primary,no,no,no,cellular,feb,5,701,1,-1,0,unknown
40,unemployed,married,secondary,no,yes,no,cellular,nov,17,204,2,196,1,failure
27,admin.,divorced,secondary,no,yes,no,cellular,jul,16,652,1,-1,0,unknown
60,retired,married,primary,no,no,no,cellular,aug,26,63,2,-1,0,unknown
28,admin.,single,secondary,no,yes,yes,cellular,may,6,150,1,-1,0,unknown
52,services,married,secondary,no,no,no,telephone,jul,7,398,2,460,2,failure
37,management,married,tertiary,no,no,no,cellular,jun,30,224,1,-1,0,unknown
51,blue-collar,married,primary,no,yes,no,unknown,may,7,406,2,-1,0,unknown
41,technician,single,secondary,no,no,yes,cellular,jul,7,60,4,-1,0,unknown
35,blue-collar,single,primary,no,yes,no,unknown,may,30,521,2,-1,0,unknown
38,admin.,married,secondary,no,yes,no,cellular,apr,17,279,1,-1,0,unknown
34,blue-collar,married,secondary,no,yes,no,unknown,may,20,203,2,-1,0,unknown
39,blue-collar,married,primary,no,no,no,cellular,nov,18,201,2,-1,0,unknown
34,blue-collar,married,primary,no,yes,no,unknown,jun,20,372,3,-1,0,unknown
27,services,single,secondary,no,yes,no,cellular,may,18,391,1,-1,0,unknown
32,management,single,tertiary,no,no,no,cellular,aug,14,165,2,-1,0,unknown
57,blue-collar,married,secondary,no,no,no,cellular,aug,11,231,5,-1,0,unknown
41,unknown,single,tertiary,no,no,no,cellular,jul,1,291,2,-1,0,unknown
41,admin.,married,tertiary,no,yes,no,unknown,may,14,149,2,-1,0,unknown
30,admin.,single,tertiary,no,no,no,cellular,oct,19,233,1,137,20,failure
36,blue-collar,divorced,secondary,no,no,no,cellular,feb,12,473,1,182,1,success
31,unemployed,single,primary,no,no,no,cellular,feb,4,736,1,-1,0,unknown
36,blue-collar,married,secondary,no,yes,no,unknown,may,6,337,1,-1,0,unknown
38,management,single,tertiary,no,yes,no,cellular,may,11,553,1,367,7,failure
49,technician,married,secondary,no,no,no,telephone,nov,21,345,2,-1,0,unknown
57,services,single,primary,no,yes,no,telephone,may,13,65,2,-1,0,unknown
34,management,single,secondary,no,no,no,unknown,aug,13,9,1,-1,0,unknown
32,management,single,tertiary,no,yes,no,cellular,apr,14,259,2,145,3,failure
37,blue-collar,married,secondary,no,yes,yes,unknown,jun,9,371,3,-1,0,unknown
33,self-employed,married,tertiary,no,yes,no,cellular,feb,3,280,2,-1,0,unknown
56,unemployed,married,primary,no,no,no,cellular,apr,21,243,1,-1,0,unknown
27,housemaid,married,primary,no,yes,no,cellular,jul,23,435,3,-1,0,unknown
21,student,single,secondary,no,no,no,cellular,jun,30,258,6,169,3,success
58,management,married,tertiary,no,yes,no,telephone,jul,29,7,5,-1,0,unknown
32,self-employed,married,secondary,no,yes,yes,cellular,jul,15,317,5,-1,0,unknown
33,blue-collar,single,secondary,no,no,no,cellular,jan,30,76,2,207,1,failure
25,student,single,secondary,no,no,no,telephone,aug,26,170,4,-1,0,unknown
25,technician,single,secondary,no,no,yes,cellular,nov,17,386,2,-1,0,unknown
30,services,married,secondary,no,yes,no,cellular,may,18,83,2,-1,0,unknown
22,admin.,single,secondary,no,no,yes,cellular,aug,19,65,1,-1,0,unknown
39,blue-collar,married,primary,no,no,no,cellular,aug,13,69,1,-1,0,unknown
46,management,divorced,tertiary,no,no,no,unknown,jun,17,564,2,-1,0,unknown
31,admin.,divorced,secondary,no,yes,no,cellular,jul,21,588,1,-1,0,unknown
45,blue-collar,married,primary,no,no,no,cellular,aug,18,113,4,-1,0,unknown
32,technician,married,secondary,no,yes,no,unknown,may,21,16,1,-1,0,unknown
36,blue-collar,married,secondary,no,no,yes,cellular,jul,15,779,2,-1,0,unknown
51,management,single,tertiary,yes,yes,no,cellular,may,11,281,2,266,6,failure
34,self-employed,single,tertiary,no,no,no,cellular,aug,21,1877,3,-1,0,unknown
24,unemployed,single,secondary,no,no,no,unknown,sep,15,51,1,-1,0,unknown
45,technician,single,secondary,no,no,yes,cellular,jul,28,32,3,-1,0,unknown
32,blue-collar,single,secondary,no,no,no,telephone,feb,5,176,1,288,3,failure
77,retired,divorced,tertiary,no,no,no,cellular,apr,14,161,1,-1,0,unknown
41,blue-collar,married,primary,no,yes,no,cellular,nov,18,187,3,-1,0,unknown
37,blue-collar,married,primary,no,yes,no,unknown,may,26,24,1,-1,0,unknown
43,blue-collar,married,unknown,yes,yes,no,unknown,may,30,67,3,-1,0,unknown
48,admin.,married,unknown,no,yes,no,cellular,may,8,85,1,168,2,failure
27,technician,single,secondary,no,yes,no,unknown,may,9,317,2,-1,0,unknown
33,management,single,tertiary,no,no,no,cellular,aug,28,236,10,-1,0,unknown
29,admin.,single,secondary,no,yes,yes,cellular,may,7,54,1,345,2,failure
34,management,single,tertiary,no,no,no,cellular,feb,5,71,1,-1,0,unknown
52,management,married,tertiary,no,yes,no,cellular,feb,4,489,1,-1,0,unknown
60,management,married,unknown,no,no,no,unknown,jun,19,39,2,-1,0,unknown
32,management,divorced,tertiary,no,no,no,cellular,aug,12,204,2,-1,0,unknown
32,management,single,tertiary,no,yes,no,cellular,jul,22,455,2,-1,0,unknown
56,services,divorced,unknown,no,yes,no,unknown,may,30,86,1,-1,0,unknown
31,management,single,tertiary,no,yes,no,cellular,nov,18,190,2,-1,0,unknown
42,admin.,married,secondary,no,yes,yes,unknown,may,8,280,2,-1,0,unknown
35,management,married,tertiary,no,no,yes,cellular,aug,11,588,2,-1,0,unknown
56,retired,married,primary,no,no,yes,unknown,jun,19,45,9,-1,0,unknown
48,technician,married,secondary,no,yes,no,cellular,jul,21,168,5,-1,0,unknown
46,admin.,married,secondary,no,yes,no,cellular,jan,29,194,4,436,1,other
37,technician,single,unknown,no,yes,no,unknown,may,8,103,3,-1,0,unknown
41,entrepreneur,married,unknown,no,yes,no,unknown,may,6,333,2,-1,0,unknown
36,management,single,tertiary,no,yes,yes,cellular,jul,29,102,3,-1,0,unknown
45,unemployed,divorced,primary,yes,yes,yes,unknown,jul,1,92,1,-1,0,unknown
55,entrepreneur,married,secondary,no,no,no,cellular,feb,6,213,2,-1,0,unknown
39,technician,married,secondary,no,no,no,unknown,may,26,289,1,-1,0,unknown
35,technician,divorced,secondary,no,no,no,cellular,aug,22,77,2,-1,0,unknown
55,admin.,married,secondary,no,no,no,cellular,jun,1,324,3,90,2,success
55,technician,married,secondary,no,yes,no,cellular,jan,29,84,3,183,3,failure
27,self-employed,single,secondary,no,no,no,cellular,jan,29,168,1,-1,0,unknown
34,technician,married,secondary,no,yes,no,cellular,apr,17,380,1,-1,0,unknown
34,blue-collar,married,tertiary,no,no,no,unknown,oct,4,10,1,-1,0,unknown
25,admin.,single,secondary,no,yes,no,unknown,may,28,199,2,-1,0,unknown
41,admin.,single,secondary,no,no,yes,unknown,may,9,35,3,-1,0,unknown
43,services,married,secondary,no,yes,yes,unknown,may,26,82,2,-1,0,unknown
28,management,single,tertiary,no,no,no,cellular,oct,20,676,2,146,2,failure
31,admin.,single,secondary,no,yes,no,unknown,jun,3,455,1,-1,0,unknown
78,housemaid,married,secondary,no,no,no,telephone,mar,16,80,4,-1,0,unknown
45,blue-collar,divorced,secondary,no,yes,no,cellular,jan,29,549,2,-1,0,unknown
48,technician,married,tertiary,no,no,no,unknown,may,6,135,1,-1,0,unknown
32,blue-collar,single,secondary,no,yes,yes,cellular,jul,10,412,1,-1,0,unknown
42,technician,married,secondary,no,no,no,unknown,jun,20,101,3,-1,0,unknown
37,management,single,tertiary,no,no,no,cellular,jan,28,253,2,-1,0,unknown
40,admin.,single,secondary,no,yes,yes,cellular,apr,6,272,1,335,4,other
32,admin.,married,secondary,no,yes,no,cellular,jul,17,84,1,-1,0,unknown
42,management,married,tertiary,no,no,no,cellular,nov,20,135,2,-1,0,unknown
43,admin.,married,secondary,no,yes,yes,cellular,jul,23,166,1,-1,0,unknown
44,admin.,married,secondary,no,yes,yes,cellular,jul,31,18,7,-1,0,unknown
37,admin.,married,secondary,no,yes,no,cellular,may,5,147,2,347,1,failure
37,unknown,married,unknown,no,no,no,unknown,jun,9,63,1,-1,0,unknown
37,admin.,married,tertiary,no,yes,no,cellular,nov,17,65,2,119,1,failure
28,technician,single,tertiary,no,yes,yes,cellular,feb,2,194,2,-1,0,unknown
32,services,single,secondary,no,no,yes,cellular,jul,11,333,2,-1,0,unknown
34,admin.,single,secondary,no,yes,no,cellular,may,15,14,5,-1,0,unknown
40,admin.,divorced,secondary,no,no,no,unknown,jun,11,140,1,-1,0,unknown
34,services,married,secondary,no,yes,no,unknown,jun,16,109,3,-1,0,unknown
34,self-employed,married,tertiary,no,yes,no,cellular,jul,23,61,2,-1,0,unknown
34,admin.,married,tertiary,no,yes,no,telephone,nov,19,377,3,7,4,success
37,services,single,secondary,no,yes,no,cellular,feb,2,96,1,271,2,other
36,technician,married,secondary,no,yes,no,cellular,may,8,152,2,347,1,failure
56,retired,married,secondary,no,yes,no,cellular,jun,15,382,2,-1,0,unknown
49,blue-collar,married,primary,no,yes,yes,telephone,jul,23,97,6,-1,0,unknown
33,self-employed,married,secondary,no,yes,no,cellular,jul,29,543,12,-1,0,unknown
30,management,single,tertiary,no,no,no,cellular,nov,20,240,2,-1,0,unknown
36,services,married,secondary,no,no,no,unknown,jun,17,48,2,-1,0,unknown
23,student,single,secondary,no,no,no,cellular,jun,5,471,2,-1,0,unknown
57,retired,divorced,secondary,no,yes,no,cellular,jul,30,354,3,-1,0,unknown
27,blue-collar,single,secondary,no,yes,no,unknown,may,30,435,2,-1,0,unknown
38,services,married,secondary,no,no,yes,cellular,nov,21,152,2,-1,0,unknown
42,technician,married,tertiary,no,no,no,cellular,apr,3,285,1,-1,0,unknown
75,retired,married,secondary,no,no,no,telephone,apr,15,185,1,181,2,success
34,technician,single,tertiary,no,yes,no,cellular,may,4,301,1,88,2,success
48,technician,married,secondary,no,no,no,cellular,aug,6,273,2,-1,0,unknown
35,technician,single,tertiary,no,yes,no,cellular,aug,19,768,2,141,3,failure
39,management,divorced,tertiary,no,yes,no,cellular,nov,19,1337,4,126,1,failure
29,blue-collar,single,tertiary,no,no,no,telephone,apr,21,403,1,-1,0,unknown
45,technician,single,tertiary,no,yes,no,cellular,nov,18,139,2,-1,0,unknown
42,technician,married,secondary,no,yes,yes,cellular,jul,9,196,1,-1,0,unknown
29,technician,married,secondary,no,yes,no,cellular,jul,8,115,1,61,1,failure
38,services,single,secondary,no,yes,no,cellular,feb,2,60,1,271,1,failure
56,retired,married,secondary,no,no,no,cellular,aug,28,17,14,-1,0,unknown
36,technician,single,secondary,no,yes,no,cellular,aug,13,141,3,-1,0,unknown
25,blue-collar,single,secondary,no,yes,no,unknown,jun,23,95,3,-1,0,unknown
38,technician,married,tertiary,no,yes,no,cellular,may,15,10,2,373,1,other
57,self-employed,married,secondary,no,no,no,cellular,nov,19,198,1,-1,0,unknown
31,management,married,tertiary,yes,no,no,cellular,aug,12,220,4,-1,0,unknown
42,management,married,tertiary,no,yes,no,cellular,aug,3,654,2,-1,0,unknown
45,technician,married,secondary,no,no,no,cellular,aug,11,71,2,-1,0,unknown
30,blue-collar,married,secondary,no,yes,no,cellular,may,13,256,2,351,2,failure
49,blue-collar,married,primary,no,yes,yes,telephone,jul,10,834,10,-1,0,unknown
49,services,married,secondary,no,no,no,cellular,aug,21,151,3,-1,0,unknown
53,retired,married,tertiary,no,yes,no,cellular,jul,31,20,3,-1,0,unknown
37,technician,married,secondary,no,yes,no,unknown,may,26,178,5,-1,0,unknown
49,blue-collar,married,primary,no,no,no,unknown,may,26,59,2,-1,0,unknown
41,self-employed,married,primary,no,no,no,cellular,aug,13,111,7,-1,0,unknown
54,management,married,primary,no,yes,no,cellular,nov,20,186,1,-1,0,unknown
32,services,single,secondary,no,yes,no,unknown,may,6,227,1,-1,0,unknown
33,technician,married,secondary,no,no,no,cellular,may,15,297,3,-1,0,unknown
33,technician,married,secondary,no,yes,no,cellular,apr,20,210,1,242,1,other
36,blue-collar,married,primary,no,yes,no,cellular,may,18,9,1,-1,0,unknown
35,technician,married,tertiary,no,yes,yes,cellular,sep,23,112,1,62,6,other
52,unknown,married,secondary,no,no,no,cellular,aug,25,112,6,-1,0,unknown
40,entrepreneur,married,tertiary,no,no,no,unknown,jun,9,222,3,-1,0,unknown
44,technician,single,secondary,no,yes,no,cellular,may,13,195,3,351,10,failure
45,blue-collar,single,secondary,no,yes,no,cellular,jul,26,768,2,91,5,success
30,student,single,secondary,no,no,no,cellular,jan,26,123,1,-1,0,unknown
48,technician,divorced,secondary,yes,no,no,cellular,aug,27,145,3,-1,0,unknown
33,blue-collar,married,secondary,no,yes,no,cellular,apr,2,124,1,308,2,other
57,technician,married,unknown,no,yes,no,unknown,may,5,216,3,-1,0,unknown
57,housemaid,married,primary,no,no,no,unknown,jun,6,69,3,-1,0,unknown
51,unemployed,married,tertiary,no,yes,no,cellular,jul,22,168,4,-1,0,unknown
34,admin.,single,secondary,no,yes,no,cellular,jul,22,483,7,-1,0,unknown
50,self-employed,married,tertiary,no,no,no,cellular,nov,19,690,3,-1,0,unknown
44,management,married,tertiary,no,no,no,cellular,aug,28,125,12,-1,0,unknown
27,admin.,married,secondary,no,yes,yes,unknown,jun,4,344,2,-1,0,unknown
50,blue-collar,married,secondary,no,yes,no,unknown,may,14,673,2,-1,0,unknown
36,management,married,tertiary,no,yes,no,cellular,jan,28,60,1,250,1,other
42,management,married,secondary,no,yes,no,unknown,may,12,247,2,-1,0,unknown
32,unemployed,single,secondary,no,no,no,cellular,may,27,123,2,-1,0,unknown
42,management,married,tertiary,no,yes,no,cellular,jul,11,144,2,-1,0,unknown
43,technician,married,secondary,no,no,yes,cellular,may,8,9,2,172,5,failure
31,management,married,tertiary,no,yes,no,cellular,feb,9,155,3,-1,0,unknown
32,management,married,tertiary,no,no,no,cellular,aug,14,134,5,-1,0,unknown
55,blue-collar,divorced,primary,no,no,yes,cellular,jul,11,221,2,-1,0,unknown
58,retired,married,primary,no,yes,no,cellular,feb,3,84,3,265,2,failure
46,blue-collar,married,primary,no,no,no,cellular,aug,8,71,2,-1,0,unknown
55,blue-collar,married,secondary,no,yes,yes,unknown,may,23,246,4,-1,0,unknown
34,management,married,tertiary,no,no,yes,cellular,jul,23,361,2,-1,0,unknown
28,unemployed,single,secondary,no,no,no,cellular,aug,12,119,4,-1,0,unknown
42,technician,divorced,tertiary,no,yes,no,cellular,jul,29,375,2,-1,0,unknown
29,blue-collar,single,secondary,no,no,yes,cellular,jul,10,1097,3,-1,0,unknown
54,housemaid,married,secondary,no,yes,yes,cellular,jul,25,97,1,-1,0,unknown
32,technician,single,secondary,no,no,no,cellular,aug,26,181,2,-1,0,unknown
39,technician,single,tertiary,no,no,no,cellular,feb,2,83,3,-1,0,unknown
53,entrepreneur,married,tertiary,no,no,yes,cellular,jul,21,180,4,-1,0,unknown
58,technician,married,tertiary,no,no,no,cellular,aug,18,543,1,78,2,failure
40,self-employed,married,secondary,no,yes,yes,unknown,may,23,373,1,-1,0,unknown
29,student,single,secondary,no,yes,no,unknown,may,7,230,1,-1,0,unknown
33,technician,married,tertiary,no,yes,yes,cellular,jul,15,83,3,-1,0,unknown
38,admin.,single,secondary,no,yes,no,telephone,jul,31,58,13,-1,0,unknown
56,services,divorced,secondary,no,no,no,cellular,jul,29,88,6,-1,0,unknown
40,services,married,secondary,no,yes,no,cellular,jun,2,297,1,28,3,failure
24,blue-collar,single,secondary,no,yes,yes,cellular,may,18,487,1,-1,0,unknown
46,management,married,secondary,no,no,no,unknown,jun,20,29,3,-1,0,unknown
35,self-employed,married,secondary,no,yes,no,cellular,nov,21,484,4,-1,0,unknown
35,blue-collar,single,tertiary,no,yes,no,cellular,jul,21,262,4,-1,0,unknown
34,technician,married,secondary,no,yes,no,unknown,may,15,644,1,-1,0,unknown
35,housemaid,married,tertiary,no,no,no,cellular,aug,12,699,2,79,1,failure
38,technician,single,tertiary,no,no,no,cellular,aug,28,247,2,-1,0,unknown
50,blue-collar,married,primary,no,no,no,cellular,nov,18,49,3,-1,0,unknown
51,blue-collar,divorced,primary,no,yes,no,cellular,may,13,341,1,-1,0,unknown
59,self-employed,married,tertiary,no,no,no,unknown,may,13,64,2,-1,0,unknown
32,blue-collar,married,secondary,no,yes,no,cellular,apr,20,121,1,-1,0,unknown
37,blue-collar,single,secondary,no,yes,no,unknown,jun,2,98,1,-1,0,unknown
42,admin.,divorced,secondary,no,no,no,unknown,may,16,88,6,-1,0,unknown
40,student,married,secondary,no,no,no,unknown,jun,20,197,6,-1,0,unknown
28,technician,single,tertiary,no,yes,no,unknown,may,9,331,1,-1,0,unknown
47,admin.,married,secondary,no,yes,no,unknown,jun,6,83,3,-1,0,unknown
27,self-employed,married,secondary,no,yes,no,unknown,may,26,138,2,-1,0,unknown
41,management,married,tertiary,no,yes,no,cellular,jul,17,312,5,-1,0,unknown
34,admin.,married,tertiary,no,no,yes,cellular,aug,4,120,3,1,6,success
50,blue-collar,married,primary,no,yes,no,cellular,aug,7,526,2,-1,0,unknown
47,blue-collar,married,secondary,no,yes,no,unknown,may,28,211,2,-1,0,unknown
53,services,married,secondary,no,no,no,cellular,aug,18,62,6,-1,0,unknown
53,technician,divorced,secondary,no,yes,yes,cellular,jul,15,135,5,-1,0,unknown
47,management,married,tertiary,no,no,no,cellular,aug,14,101,2,-1,0,unknown
49,entrepreneur,divorced,unknown,yes,yes,no,cellular,jul,30,988,2,-1,0,unknown
29,management,married,tertiary,no,no,no,cellular,jan,28,451,1,-1,0,unknown
45,blue-collar,divorced,primary,no,yes,no,unknown,may,23,1030,1,-1,0,unknown
38,entrepreneur,married,secondary,no,yes,yes,cellular,jul,24,1484,24,-1,0,unknown
32,blue-collar,married,secondary,no,yes,no,cellular,apr,9,317,5,-1,0,unknown
70,retired,divorced,primary,no,no,no,cellular,may,18,445,1,-1,0,unknown
65,retired,divorced,primary,no,no,no,cellular,jun,1,383,2,188,5,failure
56,blue-collar,married,secondary,no,yes,no,telephone,jul,22,605,1,-1,0,unknown
35,blue-collar,married,secondary,no,yes,no,cellular,jul,14,330,2,-1,0,unknown
56,management,married,unknown,no,no,yes,cellular,jul,25,171,2,-1,0,unknown
56,technician,married,secondary,no,no,yes,cellular,jul,23,442,2,-1,0,unknown
49,entrepreneur,married,secondary,no,yes,no,cellular,apr,17,772,1,-1,0,unknown
38,unemployed,married,primary,no,yes,yes,unknown,may,8,249,5,-1,0,unknown
35,management,married,tertiary,no,yes,no,unknown,may,9,357,1,-1,0,unknown
38,admin.,married,tertiary,no,no,no,cellular,nov,18,147,2,-1,0,unknown
49,blue-collar,married,secondary,no,yes,yes,cellular,may,6,199,7,167,1,failure
55,management,married,unknown,no,no,no,cellular,jan,28,271,2,-1,0,unknown
43,blue-collar,single,primary,no,yes,no,cellular,jul,30,783,3,-1,0,unknown
43,management,married,tertiary,no,no,yes,cellular,aug,20,472,2,-1,0,unknown
25,admin.,single,tertiary,no,yes,no,cellular,may,27,223,3,89,2,failure
30,blue-collar,married,primary,no,yes,no,unknown,may,21,395,2,-1,0,unknown
46,blue-collar,married,secondary,no,no,no,cellular,feb,4,56,1,-1,0,unknown
50,admin.,married,primary,no,no,yes,unknown,jun,17,641,6,-1,0,unknown
35,entrepreneur,married,secondary,no,no,no,cellular,may,4,429,4,164,2,failure
26,unemployed,single,secondary,no,no,no,unknown,may,31,113,1,-1,0,unknown
45,admin.,married,unknown,no,no,no,unknown,jun,20,11,11,-1,0,unknown
37,blue-collar,married,secondary,no,no,no,cellular,feb,2,157,1,-1,0,unknown
60,self-employed,single,tertiary,no,no,yes,cellular,jul,29,79,4,-1,0,unknown
38,management,married,tertiary,no,no,no,cellular,aug,4,178,1,1,1,success
47,blue-collar,married,primary,no,yes,yes,unknown,jun,9,168,1,-1,0,unknown
33,technician,married,secondary,no,no,no,cellular,nov,9,425,1,462,1,failure
51,unemployed,married,secondary,no,no,yes,cellular,nov,19,162,1,-1,0,unknown
35,entrepreneur,single,tertiary,no,yes,no,cellular,jul,18,799,2,-1,0,unknown
35,unemployed,married,secondary,no,no,no,cellular,dec,29,1370,3,209,3,success
48,admin.,single,secondary,no,yes,no,unknown,may,28,357,1,-1,0,unknown
37,admin.,married,secondary,no,no,no,cellular,jul,22,22,6,-1,0,unknown
29,technician,single,tertiary,no,yes,no,cellular,apr,16,215,3,321,3,other
34,admin.,married,secondary,no,yes,no,cellular,jul,31,56,4,-1,0,unknown
32,services,married,primary,no,yes,no,cellular,jul,21,1017,6,-1,0,unknown
30,management,single,tertiary,no,no,no,cellular,apr,16,298,4,-1,0,unknown
47,management,divorced,tertiary,no,no,yes,unknown,may,7,126,1,-1,0,unknown
33,blue-collar,married,primary,no,no,no,unknown,sep,20,9,1,-1,0,unknown
33,management,single,tertiary,no,yes,no,cellular,feb,5,8,1,254,5,failure
63,retired,married,primary,no,no,no,cellular,oct,14,201,1,183,1,success
51,self-employed,divorced,primary,no,no,no,cellular,may,6,106,2,-1,0,unknown
41,management,married,tertiary,no,yes,yes,cellular,nov,21,164,1,176,1,failure
56,retired,married,tertiary,no,no,no,cellular,feb,5,97,1,-1,0,unknown
60,management,single,tertiary,no,no,yes,cellular,jul,23,151,1,-1,0,unknown
41,self-employed,single,tertiary,no,yes,no,unknown,may,30,96,2,-1,0,unknown
37,management,single,unknown,no,yes,no,cellular,apr,16,555,1,-1,0,unknown
